,RN,RRN,Leaky ReLU,SiLU+dSiLU,SiLU,DDQN
0,7381.932845458458,7349.899438036085,5372.680363115146,2575.332514061928,6620.476190476189,5732.3573995463985
1,8118.856967241105,4213.8335200398315,3562.0539516991325,7338.317423209299,11032.944960269142,3286.7384681257345
2,12525.235827664399,4422.155298155298,3114.7899418127163,10823.818221352469,10455.002660244741,4527.56183632016
3,7433.852132675663,9345.42680920364,3721.813805160463,5609.883578618855,9603.108071432449,4537.421135407259
4,12548.845255493501,6060.145121126668,5922.615744410972,8239.150615302302,9710.35956380784,3544.812508390908
5,12064.9554436265,6924.085851606715,3870.54508635629,7212.300139331438,14075.994610281923,5637.467762405313
6,9366.019370924434,5302.398736529171,5984.706327564092,3471.225098896882,10064.774328984855,10140.333611454904
7,12062.906426663636,8336.896168058305,9711.33791150869,8717.355268528961,10672.763911871054,7549.224341689138
8,13625.663505407316,5886.267795754161,4345.98734977862,2851.525844778158,8579.997096644172,10184.220153340637
9,11704.088235294117,6656.437279182524,5911.309523809524,4412.310533553073,8236.946576857317,4994.66968098709
10,9569.785246929938,6409.708489213879,5919.678432703642,8801.223110865967,7555.241469398772,6452.717753407056
11,10032.396322378718,8484.452957681764,5446.728173640049,16596.96207018788,11363.848616187905,10974.892863651748
12,12606.052091965747,7343.370828042444,6489.29918279207,4181.485777848403,13615.268316361133,11718.537312364104
13,11864.679391771939,8716.120254422582,6667.7105871474805,7581.11319234838,8222.954147609802,8719.721221822063
14,9734.482222284601,8131.696407683927,6744.392168322619,3283.30301192642,8135.419354838709,11445.32017867135
15,11204.420211227789,7254.526875276199,4181.1089296478085,6289.539817480994,13882.018639832511,10240.660731255704
16,10132.645540733776,8581.511392869776,5410.3985422254855,14105.3663003663,12632.604284299854,15505.673558897242
17,9657.986082198298,9292.881874268694,4472.106321610966,6770.53360785235,9335.573465766884,14338.962962962964
18,11330.308245857264,9104.375991970928,4362.896929242361,3541.581960967998,11066.597324032138,13958.282458282458
19,9542.832676077282,7821.497775614242,7618.438015371903,4912.628206298891,11783.913997434545,15353.267904449487
20,11636.581135272998,8908.319044966915,3201.5555203759545,3718.0234597265153,9520.04390832798,17895.318027535526
21,11536.751812190409,9479.268399023369,7785.645352453312,9606.540388466983,12928.941039467356,17112.12121212121
22,12711.633799947022,9018.472181336474,5000.567167443953,5220.768488613567,8646.166386567222,13704.970861477253
23,13282.230081906182,9950.130686632981,7455.585803085803,4138.089133089134,10372.046579864294,15454.077739529548
24,11844.461965893937,11654.830825571213,5396.27170828763,6292.787294384572,8369.829770396635,25523.940627100736
25,12359.530259078605,9863.856721591661,8224.031321040666,5693.547186296346,13446.680931744311,16067.947331120147
26,12357.000089911886,13052.11112789907,6807.245605271921,4366.1438687746795,8625.701357466063,16041.513181654027
27,12635.740625613507,12329.04349543813,6761.717543560316,3394.2681094278714,9884.453999923555,13944.894228796158
28,14586.96891996892,11083.717679250574,6816.693754050287,5725.051749911564,15758.242129743143,20334.632034632035
29,13224.612615285709,13118.662177199649,8251.276194326529,3620.518074223413,14364.895049982157,14156.39408229988
30,15286.453201970444,13136.365421324645,6172.42726702483,5571.965008675535,7686.847403754249,11054.104135841611
31,12739.585914085914,11907.84798167364,5096.006835234219,6474.492097331716,12850.00417710944,19816.88374954278
32,14017.967084790575,11368.350591387225,8087.001136138041,4794.921617621011,10788.540776600576,14223.276078759949
