,RN,RRN,Leaky ReLU,SiLU+dSiLU,SiLU,DDQN
0,9518.495919926641,9537.91547120134,6367.048456128562,2113.8632542021055,5660.834053111851,6256.781896189506
1,8379.33433835797,1796.5724054919856,852.5029273048311,3576.341394576958,2983.710801049303,1285.527638902345
2,6015.524460793701,1657.9875315689076,1881.5785926271788,7694.588087934311,2261.558428018372,1520.354133597265
3,4755.715805468611,7053.417056731797,928.251956655071,2363.2389366555963,2370.6477178029377,896.6376036289829
4,4566.672615457439,2996.271773924818,3746.3821333102233,2551.708163134824,3024.693966761581,1374.9859531143184
5,3453.6625381837057,3909.4418075940807,2368.136424766088,4895.840719158281,3017.812401713347,1926.8156622239965
6,3525.1959975750974,3213.4372349360574,888.637721871034,656.8435974644642,1037.7407722922383,2664.5971678389988
7,4589.651099547762,5305.143622466577,8661.754520729139,5117.884859358401,4260.397668667318,1814.7346461650245
8,5562.812063447631,3074.0087828204178,1884.2926237089273,1061.175357906927,3959.342639229725,2534.962979351941
9,5066.01900450617,4916.19979196265,2362.9216081108357,1258.001518073032,3738.8472862516965,2027.1318432190862
10,3276.4345053467705,3869.2754964319365,2616.241733776897,3341.222622193754,4013.6159831787772,2269.703387066087
11,4418.067637811981,5701.478444718914,3400.909615438497,14333.94647838183,4795.844049671162,5055.280288830252
12,5412.599773149979,3422.478403952723,3384.923053905611,1797.1994411853284,5237.203338762294,4090.008407110854
13,1555.450357747466,4957.138823091981,3742.313054022703,2465.394870718888,3517.867370089296,3956.7787041531296
14,3299.1964224277262,3349.5422784444777,4581.828389228796,602.3381313597906,1828.3251793645568,7703.599764155356
15,3202.0184375239332,4492.862899133454,1909.2199091780913,1497.5566581771864,2746.9952522742446,6898.2446580406995
16,1968.2732831423011,3845.526104036614,4267.436028025021,12253.453343923995,4608.046673496931,7314.6671825747335
17,1050.989234862681,3648.082668983787,999.7302907716253,4823.056924939311,3429.732271338363,6023.229639440752
18,2403.776531400002,4354.426386652395,1556.1009304562192,1688.3640264900037,4225.541813429902,5386.482022388809
19,871.22370387007,3607.5339837720994,4742.02152407667,1549.1615110805599,3328.757361188454,6087.819390949674
