,RN,RRN,Leaky ReLU,SiLU+dSiLU,SiLU,DDQN
0,0.010810810810810811,0.0,0.0,4.091891891891892,4.72972972972973,0.0
1,0.0918918918918919,0.38918918918918916,0.1945945945945946,0.005405405405405406,0.07027027027027027,2.416216216216216
2,0.07567567567567568,0.032432432432432434,0.32972972972972975,0.2,0.10270270270270272,0.6162162162162163
3,0.7189189189189189,0.745945945945946,0.3783783783783784,1.5675675675675675,0.10270270270270272,2.3513513513513518
4,47.475675675675674,66.62702702702703,64.17837837837837,6.021621621621621,35.26486486486486,16.864864864864863
5,156.05520528932294,189.1770144007644,196.6664525306291,139.96886785402916,133.0045045045045,142.24848484848485
6,268.20014849742955,339.14254222512807,358.64962406015036,250.24958619811565,241.00301672784434,200.76679292929293
7,389.2600915744398,412.8588618605337,356.0293964858671,355.3606182121972,274.1643788046554,367.0919590643275
8,427.8279831932773,495.1634803921568,441.2643274853802,440.5021078431372,295.13055046707683,328.1539201539202
9,543.007266214178,593.2309981684982,357.97956892230576,499.5863157894737,361.08325358851675,380.00982456140343
10,556.7065628815628,597.3349838396897,401.0909838699313,489.6936888790604,243.8299010441016,356.85872082166196
11,727.7803030303031,656.317619047619,368.0047619047619,391.35440630561914,169.22431218942728,415.4289230019493
12,602.7339047619047,726.3093031968032,436.65251782531186,480.9953057889823,274.6193096377307,306.29992636796175
13,490.68157467532467,629.5277337858221,427.6802775908228,396.3477840024899,266.3254583154583,358.3957666894509
14,606.4922144522145,702.2877122877123,365.8127407407407,410.95654135338344,219.28501228501227,421.7758648539508
15,561.0224696356275,567.5594521654815,327.8904637681159,453.39978475600765,194.7418504142642,424.3799159663866
16,470.3422984178539,546.008587078556,475.35932773109243,475.58477570738444,300.07273745553874,329.79054621848735
17,595.884880952381,592.8423285486442,392.5740350877193,345.4784197391875,236.82238426895682,372.24243059756674
18,665.3517857142857,435.5931818181818,396.78220029239765,420.6114313561682,254.2090932232542,417.5146802490097
19,552.4914891395154,669.0276556776556,389.96756379585327,404.86122375832053,266.7821438064859,331.3602945191181
