,RN,RRN,Leaky ReLU,SiLU+dSiLU,SiLU,DDQN
0,-21.0,-21.0,-21.0,-20.986666666666668,-20.975,-21.0
1,-20.893333333333334,-21.0,-20.543181818181818,-20.9625,-20.895833333333332,-21.0
2,-20.7925,-20.904642857142854,-20.9625,-20.910833333333336,-20.803076923076922,-21.0
3,-20.928571428571427,-20.815,-20.901904761904763,-20.961666666666666,-20.434213286713288,-21.0
4,-20.933333333333334,-20.816666666666666,-20.986666666666668,-20.854166666666668,-20.581538461538464,-20.9875
5,-20.895833333333336,-20.403296703296704,-20.612214452214452,-20.534358974358973,-20.715897435897435,-20.889285714285712
6,-20.676190476190477,-20.745787545787543,-20.69230769230769,-20.940512820512822,-20.91923076923077,-20.8875
7,-20.401904761904763,-20.492294372294374,-20.684036796536795,-20.973333333333336,-20.91318681318681,-20.891428571428573
8,-20.503333333333334,-20.465033577533575,-20.564848484848486,-20.70904761904762,-20.79904761904762,-20.95
9,-19.499404761904763,-20.538781218781217,-20.113174603174606,-20.89519230769231,-20.886520146520148,-20.975
10,-18.894945054945055,-20.429761904761907,-19.47434343434343,-20.77128205128205,-20.919880952380954,-20.986666666666668
11,-17.53825396825397,-18.751774891774893,-19.41825396825397,-20.78814102564103,-20.85904761904762,-20.871666666666666
12,-15.226666666666668,-16.87333333333333,-18.256666666666668,-20.79333333333333,-20.568278388278387,-20.909166666666668
13,-13.540000000000001,-17.986666666666668,-17.560000000000002,-20.643333333333334,-20.919880952380954,-20.973333333333336
14,-16.486666666666665,-16.656666666666666,-14.930000000000001,-20.48974358974359,-20.55641025641026,-20.770833333333336
15,-15.663333333333332,-16.296666666666667,-15.884285714285715,-20.662564102564104,-20.291396103896105,-20.78666666666667
16,-14.969999999999999,-14.77,-14.2,-20.76,-20.06523199023199,-20.91794871794872
17,-13.973333333333334,-15.313333333333333,-14.55,-20.577142857142857,-19.328333333333333,-20.471944444444443
18,-13.75,-15.95,-14.819999999999999,-20.35142857142857,-18.350952380952386,-20.57543650793651
19,-14.466666666666665,-14.183333333333332,-15.569999999999999,-20.12761904761905,-19.122222222222224,-20.566071428571426
20,-14.653333333333332,-14.573333333333334,-14.49,-20.79904761904762,-18.135164835164836,-20.3625
21,-14.45,-14.866666666666669,-16.086666666666666,-20.804102564102568,-18.46890442890443,-19.818012820512823
22,-14.606666666666666,-13.9,-14.583333333333334,-20.698901098901096,-17.105586080586082,-20.152747252747254
