,RN,RRN,Leaky ReLU,SiLU+dSiLU,SiLU,DDQN
0,-24333.352777777774,-24375.530830761574,-23332.674548523206,-21721.238153738155,-19976.009320578858,-23291.655595907807
1,-23471.591178451177,-26656.636721828207,-29610.82592592592,-29901.768518518522,-27279.387799564272,-29902.51851851852
2,-26639.011463236635,-23512.060513155033,-27923.469037037034,-27673.041666666668,-27691.843023845762,-27207.12380952381
3,-29802.29021164021,-29569.074313022702,-29713.739719029378,-29909.787037037036,-28763.328042328045,-29901.48148148148
4,-29909.214814814815,-29906.44444444445,-22647.02816450284,-29889.935185185182,-27859.048677248677,-29894.407407407405
5,-29898.785185185185,-26930.326482489752,-28422.811111111114,-29902.12962962963,-25902.75144015757,-26723.5050856827
6,-29900.17037037037,-28990.214303959132,-29718.22437511403,-19585.67456439209,-29898.13333333333,-27568.70460704607
7,-26698.81742272495,-23982.471616593342,-23949.74083252818,-22839.179175120342,-24548.523539961014,-25593.4038871988
8,-28417.542891278375,-26578.657277659826,-29903.837037037032,-26663.52735690236,-23557.016567693743,-27413.377616747177
9,-29904.474074074074,-28489.854780361762,-21372.223729724938,-29903.01851851852,-29909.80740740741,-29906.718518518515
10,-28970.328134920634,-23694.259376884347,-28218.22807017544,-25384.459237447933,-23439.542865902135,-26912.451056014695
11,-29078.912448162446,-23701.181368214835,-25875.731584293324,-20336.2912940849,-25690.47256549232,-25919.96312399356
12,-27519.994815541268,-29793.567724867724,-29902.614814814813,-29907.61111111111,-29386.886931216934,-29899.644444444442
13,-28354.837669657234,-26922.078062678058,-23735.394538067954,-29085.41693899782,-29894.503703703704,-27222.746520146517
14,-26989.82662509448,-27224.24541446208,-24032.807520560797,-29526.184259259262,-29273.545138888887,-26634.532619399764
15,-28488.507945041812,-25617.926400014992,-22003.946728713974,-26774.518999519,-29186.499317642767,-25532.489519739516
16,-24420.61215950897,-29916.67407407407,-24808.296322627415,-29129.221380471383,-20318.265198782254,-29895.214814814815
17,-24663.685341202006,-28889.58798108453,-29907.222222222226,-22495.95065555036,-26456.286111111112,-29836.595238095237
18,-29400.78767195767,-29511.465972222224,-27284.378754578753,-27938.321118991335,-23738.260285310582,-28177.6138047138
19,-29903.888888888887,-28302.92722462723,-27706.57171717172,-29899.37037037037,-29899.86666666667,-29444.763918757468
20,-29498.59667943806,-27393.805568326945,-29262.210872162483,-29911.444444444445,-26988.370550745552,-26452.340535241878
21,-20684.54337591947,-29909.583068783068,-27682.609796893666,-27362.355092592592,-25998.04128023277,-27221.892063492065
22,-26135.7460978836,-29874.50661375661,-25699.231039136306,-29347.146057347672,-29783.72962962963,-24032.700484006735
23,-27600.182885262882,-28685.83630903631,-21955.684436143936,-27458.07154882155,-27654.94074074074,-27222.025396825396
24,-29097.50137844611,-29904.644444444442,-26199.787313816127,-28594.89458689459,-25364.39421660328,-20406.614932478187
25,-20327.26051242387,-29715.305236270757,-29898.97037037037,-28240.470284237723,-26005.8783377542,-27077.02653061225
26,-29909.296296296292,-26119.218033354766,-28083.569925925927,-29456.425,-23373.678301994303,-27747.746328715984
27,-29165.212962962967,-24198.447563352827,-26339.162779544647,-29897.935185185186,-26187.7208994709,-26985.983597883598
28,-24059.526786286395,-22931.96195867248,-26159.324802043422,-29335.793113425927,-23900.11846546812,-27484.980032206124
29,-22994.0940694732,-26250.37276094276,-24257.445424333902,-28955.283769063182,-29887.837037037032,-26924.777264393102
30,-27212.84273689274,-25552.761731458504,-22761.911647219855,-27979.236383442265,-23121.461974367077,-25332.4099608456
31,-25546.186954801473,-28116.62247332078,-21831.321879084968,-26825.53521394065,-26286.27989782886,-27317.581309295747
32,-21424.83788869083,-21258.991035750914,-21074.2919544628,-28882.81700989783,-23246.398638401894,-29906.348148148147
33,-24956.248253968257,-26020.840974641887,-29441.6183908046,-26483.961160078346,-26535.520747770748,-26824.477407407405
34,-23956.358650292797,-26851.942280894757,-23769.85649039059,-26715.681565656563,-24613.35419336458,-26879.442451916424
35,-21914.371727420636,-29898.6,-30175.568148148148,-26653.67408775771,-21858.614124579122,-24185.55294117647
36,-24162.64693121693,-26870.828042328045,-29474.89513888889,-27493.809027777777,-22881.494317023447,-27043.878485463152
37,-29289.56064951651,-28255.64275862069,-29002.487195767193,-29900.814814814814,-26944.094269741436,-27830.67652173913
38,-20120.696001255492,-29795.45555555555,-29656.774509803923,-28675.95746187364,-19234.939331142905,-26658.7549232159
39,-25541.876576787545,-25079.003578643402,-28870.012225452192,-27858.94232804233,-25779.207363315694,-25208.996311340354
40,-29559.25854241338,-28217.460352155438,-23183.417089381204,-26062.130926501035,-17063.096327960928,-28234.344444444443
41,-22038.092583371385,-24301.197597261125,-26055.64289814815,-26399.152777777777,-27891.780638227512,-29907.111111111113
42,-26348.382105501398,-23605.729588624337,-26898.651750101755,-26472.14675925926,-24228.399634984384,-26452.844649257553
43,-26677.40198653199,-23753.135984370252,-24238.527140949725,-29902.5,-29444.90681003584,-27207.9149705635
44,-29409.401911589008,-26488.808850408852,-23598.649684364165,-27995.68776065982,-23791.52771742583,-24345.391737936858
45,-26030.35031765342,-26219.581499548327,-26860.90643653362,-28298.124305555557,-29422.53237753883,-27716.53577807056
46,-25400.17911980807,-26998.413732833957,-24057.52497375328,-27985.097714736014,-22509.331701201507,-28094.031968810916
47,-22839.453679125352,-25751.864998361194,-22624.0986887939,-29909.833333333332,-28798.49686609687,-27481.954901960784
48,-21653.76071663123,-22984.81377860831,-23820.972537092704,-28870.471164021164,-24537.594391534392,-26138.369288499023
49,-28186.24522417154,-24048.413829438527,-21257.853933088623,-24045.040377720914,-25653.84184088269,-29458.267144563917
50,-23564.36876383307,-23078.776317035234,-24766.290346792415,-29891.824074074077,-25342.56743875537,-25202.50826178451
51,-21293.72844170708,-24792.031410396106,-21422.528750656,-26894.93156199678,-29510.547453703708,-27515.42699805068
52,-22155.682396569657,-23773.863980094648,-24713.056370370374,-26017.491021324353,-23579.96817464206,-29905.074074074073
53,-24190.689219373216,-29908.340740740743,-24850.627304504247,-25291.48833333333,-25926.350086132643,-26982.163636363635
54,-25601.841693978535,-24656.831181272755,-27237.02680012635,-28360.24202812438,-25247.50312038794,-29102.975241207594
55,-20835.526764021164,-20794.174918580786,-26308.370854241337,-28196.1191423519,-28355.69365079365,-27700.354491582497
56,-22729.383705035703,-27763.68592592593,-24212.748810916182,-25826.764349757,-20703.144015614358,-26018.0625978836
