,RN,RRN,Leaky ReLU,SiLU+dSiLU,SiLU,DDQN
0,228.93121669143278,226.6106054226691,185.98644767912677,140.46416284288105,103.67507779427925,196.79146487229104
1,242.96756518843472,218.57085785227997,210.98486682738593,172.10291684606972,189.6782951175287,202.66749066139312
2,255.67270590907052,213.08611101835876,223.8389183271096,163.55232568932422,218.3815265733847,235.8515915743642
3,241.7206385966752,283.838447607791,292.13489350515556,185.85966452454056,210.02559749639323,298.1211763095793
4,288.4563200274813,369.50694048236807,307.10944647075166,236.30237572260654,273.6408518451043,288.18253480753475
5,322.47251301054666,367.49079727876335,372.8775974973793,226.7430630869772,343.68632737764256,325.3946914303048
6,363.74847359763595,335.55126922831107,348.0931725357559,306.7450838671033,367.6736304758696,379.4219763878875
7,368.84914913201726,393.7505051244535,399.2222200712879,343.72965468785907,369.0288420308645,374.9478906096553
8,338.01865824111906,355.6293844904606,423.7821932414698,332.7418813175545,341.1409033890377,365.1723018630012
9,380.6639810737614,423.70948899747236,472.05342100191194,328.28353636371696,341.4843647944573,396.0815970332607
10,365.0417650556725,452.9380010016938,413.69034453592633,373.3868323086811,449.7348434550284,424.4929321053758
11,388.5939572252564,417.76460940784017,391.139651964289,395.2427565554015,431.0182294249086,456.05763971840497
12,407.9598131079899,462.78574720486483,471.6881105620407,386.2741185815883,435.7559660064247,528.9408174372797
13,411.877204362257,496.1018264681472,424.4140294749409,362.52661230159435,422.8171508583905,498.6453560154073
14,381.75054509522886,444.02876121063275,531.9136564820103,407.1631329105013,389.8247713930121,524.6099231367318
15,412.5784173062558,471.42424088544465,442.12530618434346,386.0857358449992,439.7479053763973,471.60299718496435
16,441.1942684159638,537.4284502014305,446.5383908102047,368.8980879905854,438.99016892278104,377.78739058190723
17,453.15363780587074,488.39556451349563,490.8846780936455,434.90398080580826,456.16155866956194,491.66832834828847
18,489.01448037785696,430.75722287335327,442.4141051302748,421.5286365693167,446.5190321757709,483.481554816645
19,440.8096020328887,528.5459583007212,499.5346792361694,430.75466474074926,448.92046402779096,515.257686879799
20,523.8802590387517,462.049514945825,525.8899146847516,416.82642191369376,408.2979246948325,424.25785261574816
21,442.2274301003082,519.2651518807239,487.23331345878074,436.9057691155017,394.03566001140933,548.6807879914841
22,448.8184946657737,523.375204295054,506.06228676864004,418.0387722808838,389.2283197618799,424.2426556302419
23,433.36333296538425,519.3812778591928,509.9555637717485,473.0755161959836,454.2356799003346,547.7160285388758
24,469.4147495914952,490.15846798510313,472.21268185365045,408.041659860102,460.32647116947936,470.3876696309592
25,468.1737474282205,515.1138786012148,520.7214454900055,438.1670650519265,387.7028937530505,550.3363185981052
26,479.0110541278442,523.7344914064977,511.34571902321375,448.74377321588906,386.6710710668434,554.324727949599
27,492.1591236268403,541.2783458237413,607.0613470067801,503.8196526966105,369.2523370990319,562.0637875934486
28,517.0550114223217,555.3265015687324,503.16289755214984,405.5538094401862,393.9695919958787,559.4885585182735
29,488.3116235482392,513.1455316059904,503.77782886446806,397.6429877852089,323.6225119490856,514.2846213683152
30,458.80635998689195,514.7362430120563,532.0752404066993,412.24024736816,328.56307660915417,503.139186230451
31,461.83323367347293,556.3217651329031,556.5957122154523,408.09939295051146,484.1756901181008,574.598457164988
32,513.0291250721691,498.1482616047668,560.715475604578,392.89314961299317,400.21730013106156,521.9228676782888
33,528.0652616654628,524.1414600806297,531.6737424409016,465.8473111731934,432.01930130329947,491.3429082491582
34,496.76375453725916,561.786979225515,517.080695729821,446.66838481752245,396.48426833145,534.0100574712643
35,534.5984677027261,550.1166311691297,493.6002566428084,419.45147586474576,265.3641458588572,508.1296354223334
36,509.0533963405586,590.7950575963958,473.67384572693555,446.39320554240504,408.67575606089366,491.93584702759017
37,511.16384033024696,538.0101643063729,517.7104663430023,342.15127700672355,412.1197629791774,531.2680785997787
38,518.85790960087,566.4450225233633,523.1650536503262,427.3920482463037,359.7906501337643,523.3548145117294
39,555.172990516369,567.7723933115046,503.80395491329995,400.53111439396906,318.20664625601796,597.6666395369868
40,533.7906058325613,573.1484178353111,538.2842749431139,381.245821647609,372.2106781744666,593.0915608067236
41,483.9689079907848,576.5908340366325,598.2110515504919,426.8369107905217,314.60477680687853,500.5312730032686
