,RN,RRN,Leaky ReLU,SiLU+dSiLU,SiLU,DDQN
0,-23.23741289494952,-23.372541407867494,-21.51963470319635,-19.289687669534217,-16.4,-19.340350877192982
1,-21.356923076923078,-20.48285815507119,-19.04189896498611,-14.746998284734133,-20.687203843214323,-16.14842105263158
2,-18.952380952380953,-22.352874661570315,-23.050904761904764,-23.938235294117646,-21.288725038402454,-23.403745458230446
3,-18.422280701754385,-19.897955974842766,-12.904850746268655,-5.6,-22.557666987617274,-12.344444444444445
4,-17.67929061784897,-22.406582940868653,-15.955736114479748,-14.755646704949413,-17.6156501726122,-17.85464480874317
5,-20.28865800865801,-20.125919913419914,-12.18095238095238,-14.773913043478263,-13.0,-14.303478260869564
6,-15.037878787878787,-12.77948717948718,-15.031794871794872,-19.3875,-11.48,-8.878571428571428
7,-18.146317829457367,-22.240350877192984,-18.027801087801087,-19.39655172413793,-11.18,-16.36698412698413
8,-22.161818181818184,-21.18904761904762,-22.366349206349206,-24.0,-12.39240506329114,-10.95
9,-19.14463601532567,-21.0307881773399,-15.85263157894737,-23.971014492753625,-20.672702659659183,-18.328170212765958
10,-20.518930481283423,-17.02967320261438,-17.096296296296295,-23.97408955223881,-11.953939393939393,-5.551111111111111
11,-19.621428571428574,-21.273328523328523,-14.784925263415829,-14.765714285714285,-10.516666666666666,-16.154895104895104
12,-18.76559829059829,-17.16190476190476,-18.239275608375777,-19.360606060606063,-11.766666666666666,-14.1
13,-19.987692307692306,-20.182380952380953,-21.13548588039867,-14.79298245614035,-13.721212121212123,-12.216666666666665
14,-18.826928104575167,-20.59924585218703,-10.481621621621622,-19.393333333333334,-8.333333333333334,-14.127927927927928
15,-19.413286713286713,-18.51,-11.86,-19.6,-17.139393939393937,-17.372119815668203
16,-13.426495726495727,-19.646098901098902,-15.456280193236713,-19.3894670846395,-17.457142857142856,-16.0479302832244
17,-21.22668172407303,-19.820940170940172,-13.35752984105387,-19.4,-17.292708333333334,-17.19268680445151
18,-18.434776334776338,-20.614358974358975,-15.530555555555555,-23.958696741854634,-19.811308203991132,-17.26060606060606
19,-19.8392673992674,-20.908241758241758,-20.172601880877743,-19.396153846153844,-16.347826086956523,-13.754697102721684
20,-17.938831168831168,-21.92215007215007,-15.88309523809524,-19.38964912280702,-9.766666666666666,-21.917791429793997
21,-15.615555555555556,-20.421804861804862,-18.501852191454244,-14.8,-18.4,-13.952380952380953
22,-17.515126540126538,-21.593809523809522,-18.74276854928018,-10.362266009852217,-12.033333333333335,-15.995126945126946
