,RN,RRN,Leaky ReLU,SiLU+dSiLU,SiLU,DDQN
0,912.3593480580945,923.0039937241478,1439.214448413726,656.0346010826825,1233.046036279041,1433.704185555031
1,2675.6709138170454,2022.5700296268194,3089.675286045338,1718.5066964402038,2120.0604558947116,2836.671870075485
2,2418.7207492155094,1974.233353780722,2532.828006640602,2057.791912401912,2238.9089387418103,2529.0644096617825
3,2489.4256441156886,2473.0205537433644,1938.9360831805036,1285.5465346689336,1918.843137493329,2223.036137955719
4,3940.424420888622,3427.147369094329,2125.332817920588,1821.3405301570667,2172.2506728448707,2700.4997711446354
5,3613.4353891728847,3770.8749097663544,2260.1626140642416,1681.0730759282474,2756.738956649881,2570.8468876518223
6,4174.856089403704,4254.8247659483095,2509.238037557188,2190.796459231384,1968.341705027048,2940.9521750824097
7,3887.0348491612654,4522.677683584907,2751.6999179301447,2632.18965657884,2730.2287057357785,2405.991739177794
8,4416.890292980272,4615.2011330440455,3325.7722780093472,2422.906870906871,2489.293624937088,2459.817071342354
9,4029.5827686527787,4553.954777511013,3118.653574960104,3160.385542104704,2650.0987530668503,2876.688759818821
10,3793.410352971144,4473.063207452216,2692.719414323733,2513.245182881935,2758.839687770651,2913.8554607931637
11,4054.5137714998177,4471.591444092933,2520.629771058981,3634.9403349311397,3351.856632002336,3271.337254645666
12,4389.631834861658,4965.3858479260625,2271.0466729228237,2005.4258093182143,3173.995884902351,2654.153945766524
13,4626.5197775857805,4648.2249621411,2875.5890008315905,1659.971786798383,2396.718523260712,3160.239440168591
14,4570.799304907148,4092.4822154137028,2747.756513856285,2135.933093475901,3060.914121373036,2798.9054853915814
15,4722.032652610449,4459.311450744377,2796.9217442655017,1602.2963665868776,2871.481823166164,3192.7665278270115
16,4668.268985926956,4365.658370009584,2489.60885852594,1485.7132193014065,3225.054128317994,3138.689301454493
17,4542.104333713923,4678.019728053975,2640.60338370042,1913.569253586806,2690.513594177114,3544.2837553110994
18,4704.098555463305,4681.178681999115,2727.3010079804058,1060.4048891534055,3155.3118593360136,3192.675456803932
19,4888.009365350217,4663.2686690003775,2660.5299175179634,1442.603874875396,3097.2817597395756,3122.889355742297
20,4845.130011052845,4676.898259349485,2090.4900470331136,993.4276158623985,3238.956239412761,2953.776314864467
21,4906.976301308008,4788.306923123824,2369.976039267686,1026.8747839462126,3130.965873100601,3039.665560796443
22,4859.7967372134035,5187.5711773780495,1874.5400937650859,797.8782116481145,2592.604187481444,3274.9157509157512
23,4710.8502794092565,4854.648811278121,1911.120567583026,1132.3869217727067,3272.4742013920454,2766.157840213325
24,4952.648452905829,4878.085462393023,1978.158780911191,951.4558071718022,2671.6991193615295,3011.0180394609374
25,4958.058491895701,4878.331974447931,1967.8738670967589,743.844062283595,3258.3133542846927,3289.224309943465
26,5309.917907598321,4645.501859274744,3012.267137086329,736.9119420006516,3106.4043123064685,3420.4784754127904
27,5114.026854821392,4839.484647486121,2141.442676889491,1270.717173013558,2777.309132808507,2935.683013906467
28,5153.502913116068,4979.260513469242,1792.2229443069973,1035.5550659018152,3181.4111866528538,3276.352604439803
29,4789.858040836781,5249.438330344354,3215.0249520086954,1080.3807747001488,2733.2565909260875,2938.483271464929
30,5577.22210440977,4937.547814061304,1812.8952910856574,1197.4633891308845,3135.674642996945,2757.3154581590256
31,5141.952673333938,4687.17926787547,2684.534096183219,788.3485172939844,3397.368710531007,3536.632687816159
32,5220.466550815008,4674.436787453614,2156.159516845494,821.0312601028143,2802.036285561722,3671.656240627491
33,5338.53713464032,5486.436304725778,2135.4640088379792,1070.4932326387475,3485.368371091895,3280.5651565544294
34,5409.368148451481,5150.9134127014095,2283.753511145157,955.9381735539307,3046.199446046398,3866.0137649781427
35,5809.351770268844,5339.647129161132,2241.058830968829,783.405662660321,2625.774224272609,3218.899149246265
36,5421.683718660282,5369.44749530366,1872.621073909654,978.6750923707759,2991.714769875773,3052.130188667191
37,5425.402767522867,5109.410026894015,2434.926295515933,869.1495922916513,2840.99358974359,2965.012612230638
38,6152.747574446168,5384.3333232977075,2379.9803941491245,1480.1669246646027,2814.5000730816837,3334.043279090717
39,5776.678837222315,4687.814322483855,2194.0673076923076,787.5406007684489,3465.08517346212,3212.2302464993786
40,6155.362123064277,5335.351901500203,2172.789042440464,810.4178693977153,3376.9708556608443,3285.7217379170716
41,5940.198875398937,5304.476974564926,2488.551833631181,1019.7162391033623,2847.2278402577685,3132.176587139336
42,6297.806850012732,5663.26070303965,1803.4077583922785,1046.9172689044276,3070.159677793704,3914.3653478825995
43,6202.99950164937,5562.614511391601,2197.2316842040273,1070.8743634928783,3039.4949115212276,3269.658035932969
44,6465.163775104612,5340.218199726649,2024.802716988513,1158.2844079155032,3296.6483951984214,3314.768564382095
45,6368.111500334398,5294.246155256723,1935.0640599710364,1298.514568691066,2891.672278877638,3318.868745976798
46,5775.510837449166,5967.8085456119625,2485.9161819967553,1259.26590657787,2344.5886692178556,3265.281968779718
47,5948.78959276018,6413.643790532783,1785.4253381905953,1456.0822447293735,2558.4471827199745,3591.9265680185117
48,6337.358569284965,5366.662891600202,2317.5055008827962,1749.1772028766914,3286.842288561079,2756.1611025490943
49,6285.784136122258,5717.952582434417,1903.1564679362414,1276.6453021217517,3317.446955036058,3102.860635917827
50,6358.468952739804,5642.881543153426,2495.2339874974377,782.4498443269222,2943.0914302420997,3322.626316876679
51,6504.4051814571485,5966.499285877155,2081.9339414630035,692.3650358773646,3205.2407537909435,3502.8456017473427
52,6209.282336182337,5666.298965052835,1876.9845784407062,743.8127010160181,3303.15058807991,3632.110179998862
53,6388.801446743712,5962.629086833312,2560.9818776854368,939.6775449499892,3504.637847238885,3434.394104713254
54,6576.56731280633,6003.974580358865,1655.3777478348263,1395.9089173789173,2366.7383481299476,3061.172400239255
55,6518.672980692825,6073.156890206502,1890.485998866253,1248.4324498599876,3148.523664737257,2827.205878800116
56,6797.525130467028,5601.7212185870085,1822.8313939005748,1102.9468323830897,3132.0448225116556,2970.0533216879003
57,6679.716839028714,6090.173448294796,1777.544251727595,1078.152994152994,3310.5764996577227,2448.4418815683957
58,6533.404185498613,5711.119082719082,2271.5180115530993,1170.5570075247997,2320.168281866934,3747.770010469718
59,6391.240402398297,6293.74941614072,2068.248260385045,795.3223151585473,3083.0871835832886,3286.033162061199
60,6548.546118079581,5748.675384875421,2147.704751163185,728.4931234310795,3236.523746355483,2794.5648686825157
61,6905.848884865666,5912.116594066891,2620.5957863444955,1295.7420276864407,3033.1276089513244,3033.8792451213503
62,7089.708484766905,6290.082601778377,2256.5606240711368,1167.3798398441459,3550.676070165346,3025.1061879297176
63,6946.257361600253,5892.373828928398,2181.9830169472452,1267.0998738534427,2942.288800546533,2649.5352513712746
64,7047.5013645951885,6129.837185327381,2192.1164133508764,1229.1178928025406,3764.0345957443146,2391.052124081437
65,6944.233159057939,6178.6976860585,2053.3953108778423,1605.232688148282,3360.197754258012,2808.8153707488786
66,7016.442382275818,5980.684094178212,2326.5166148310755,1031.5471390303046,3300.6358599759224,2827.343250269009
67,7218.802867711318,6314.395718758302,2586.0047110853457,1065.9236293328643,3429.3684469652217,2820.346232941337
68,7564.611497936016,6436.205104205104,2238.2786456536346,1533.6598019666335,3610.33837315696,3630.9719619227094
69,7135.491432378583,6369.817683881064,2149.0567990285367,1281.7411572627689,3427.0496947030247,3133.6642483581727
70,6921.218305945859,6286.541798163396,1990.308750530155,884.9259865171774,3021.903825763234,2565.48490805789
71,7244.20309078195,6202.190515297364,2272.5382113160285,875.6497524536265,3435.295468054599,2423.5478452194834
72,6980.353784680779,6330.061564641433,1962.476281414712,1024.9340000429709,3140.5131323676537,3144.16292234696
73,7460.480376241406,6014.589507415751,2048.3268050264296,785.4918367562319,3447.7351606783827,2879.544038644925
74,7857.8579916815215,6748.111778587323,1559.4662278262374,1206.2242124840463,3157.6611133464717,3331.206886680571
75,7575.3922102359065,6441.63774954319,2290.792504721784,1032.8579042459662,2768.094803373441,3186.6160367059447
76,7421.4912720878365,6834.683239962653,1828.3782742431601,1245.3343008569846,3345.2875119907053,2905.8181435559745
77,7467.735823854129,6541.282126914832,2117.7421102811277,676.7296440054184,2757.2853197746385,3194.882386912117
78,7458.914776765523,6957.754000385578,2002.1687395504862,936.0398353252849,3664.176299364076,3162.770126694418
79,7526.239273777981,6889.503194812396,2013.528470425501,1413.40738625013,3508.663569523082,2650.1502197046184
80,7948.975782349333,7055.059466409514,2185.04712533996,949.6920778644302,3063.2688816965165,2996.5907787042256
81,7671.725955204218,6602.868639255667,2157.315829335266,1249.2301772539413,3650.3574873708676,2482.939383287474
82,8005.043667443667,6576.151582072771,2004.2750240483,1254.1239939127056,3078.6515494442324,2619.0105077877192
83,7613.91420331651,7013.092358974713,1781.6980088184907,1075.6062089637023,3209.2655665987177,2042.6706525297548
84,8005.475711104964,6838.343644687908,1746.5303193922095,948.8380113976864,3141.4971819645734,2742.4226565615854
85,7566.385269433986,6667.994984399149,2390.8781082635296,1211.1517267986287,3508.5204225422995,3428.678120848074
86,7942.05373818366,6741.852956689562,2087.033121858659,924.3936528947755,3076.3853698935886,2832.367746879754
87,8203.87982792879,6642.679316291765,1604.1195586356166,808.5241612203876,3583.8064551482275,2879.2020239523235
88,7632.061893061893,7182.185305834556,1977.1683372606444,1915.3663003663005,3206.3237304482464,2910.511630042974
89,8072.981853048431,7231.583061350191,1694.9131775753963,799.4971528566181,3078.6559678827107,2901.6119208549717
90,8340.305883999914,6948.412116408962,1709.3624320675347,1980.8468789558806,3191.8955752478755,3410.962600587228
91,8092.420302701993,6929.910718410718,2191.9466678767917,1176.0012558946587,2692.0783742595236,2562.3768512728648
92,8174.750241545893,7554.239236239489,1897.809294411943,987.3907504911858,3670.906934275131,3081.1498871261697
93,8096.210442723843,7364.985437499422,1960.8697249711447,1140.0882826560578,3658.546085258291,3169.537801475182
94,8422.394049004379,7097.29187116939,2186.439375500392,1502.217524308829,3752.018570522692,2925.7491880061725
95,8392.40334783831,7821.5851767999,2160.780991313011,992.2708540382961,3737.259536603361,2924.2689138293354
96,7851.4953479589385,7168.510726738084,1586.0028720238038,1270.9929070037713,3789.8103801761667,2900.175233769794
97,8369.482450477011,7475.6179727335575,1893.0177879278078,898.3695506652163,3713.6220614210724,2635.3002416355966
98,9001.258675312938,7870.877693638342,1904.3664907230964,1252.4568533437707,3588.5608353335424,2877.072324341658
99,8615.934228392203,7669.617754359808,1916.6638020909566,920.7878592878593,3002.467765032584,2506.221892423307
100,8644.907782752167,7605.92027329928,1633.1376765137218,1817.8150476462165,3798.307992824752,3040.6623151264434
101,9094.328709597581,7705.048413109651,1867.7253700964588,1112.80049332186,3398.3255872063964,1777.8454832158902
102,8605.958251041213,7885.470281734395,1888.0865458996784,1412.4814713599983,3648.2680595774996,2590.6931162251226
103,8237.294843789343,8084.3191217384765,1572.5247378244162,1303.5630003939561,3222.947115921742,3036.655960974093
104,8585.928299331088,7956.55507020213,2024.72343416322,702.6600737930287,3521.9894983457393,2457.032789290418
105,8787.961095694487,7683.896915294174,1812.3898641588298,955.4138742187173,3629.3866381683342,2921.3630659954065
106,8899.578921184928,7949.999029248615,1885.0660564586633,672.5459548456713,3795.7666237155076,2530.8781154127155
107,8743.953157341339,7991.411211312739,2043.8036638577091,1000.473721161174,4013.4705882352937,2266.6970712651955
108,9178.884130616394,7458.743885578125,2251.1764388342667,1129.2751909337276,3467.3446608170284,3041.40620953121
