,RN,RRN,Leaky ReLU,SiLU+dSiLU,SiLU,DDQN
0,560.4068215794856,482.5797440667529,842.2812321780815,30.735092910920436,571.9531492478613,917.4784628464756
1,508.4212674057645,546.286266896455,227.506899810463,785.8063185753123,746.7352557589594,250.88749187351775
2,429.24477479755734,483.74857299003224,504.618848159793,776.0011098987674,647.3940640090614,176.49660312197756
3,724.1986784835924,445.8915067104512,319.00566205373076,664.0292331332454,400.6093626971576,366.53085064267117
4,331.17801978383636,603.9623039170912,644.3392378516131,393.6906263047222,703.157728970619,239.3509546691368
5,428.7222220884581,471.1364611449895,753.8318850306244,886.806550715598,340.0858194913094,614.7360691490585
6,268.23731969016296,277.195201003708,709.7003593934405,880.6392665083063,940.6195419204439,438.25371703686966
7,341.3321151969536,296.6849312214533,596.4394667115988,485.8334257871262,500.9224067898643,673.0321274342209
8,468.92083441069065,183.1934912315851,726.7614287664442,1015.3027524595038,164.49699559374565,521.9912051372891
9,450.2859578910011,560.3618116765473,1205.2085657245846,61.86120388082145,758.1887035125573,395.7181836196044
10,1084.000432673489,244.20213643420243,153.61835058864014,1023.1586044035676,390.93720033377286,362.1700605381882
11,802.9815070348193,672.5913995239633,391.3984400311794,466.27637564785863,365.73220342244014,423.6200611625781
12,354.7607932327049,208.0954868895953,891.6792046202354,1080.6847351842666,852.8681793396563,375.7015064872245
13,432.588020687404,380.4452726800455,1141.781229180753,730.0873181345987,1101.1092325623067,459.4406252989796
14,380.55972399687516,603.3681945260931,795.7525610773329,1102.2990004510625,672.5220745925894,378.7514690136155
15,352.2266713770424,483.0542389590932,371.8417646388985,602.8639354433368,668.2564385437729,499.1379981995597
16,469.75742309862954,800.5334247662963,873.3387968546189,967.3031627796114,577.0383308932351,627.6733785455605
17,504.1695820589038,531.56695549823,703.7390490203323,1191.0691955274524,1058.228120210773,131.5433360353736
18,357.33923885115377,236.77575432234465,591.3304522889418,213.73333368653329,950.7469533845052,135.39374045558023
19,408.7482892926775,286.174902109831,342.54366023462615,805.2301434801597,659.1952831860872,378.41080857321924
20,181.57596309863158,283.84492354147545,275.3639833288432,378.69071290137214,539.950869089895,434.1448922896761
21,721.2801847550223,485.86585089398176,667.8322806709183,582.0256463707209,265.18042376954935,544.5135127186752
22,510.90103619377066,520.8165774506552,858.0921091396431,255.1367792051242,525.469201943626,805.6849824325454
23,618.0855943743975,154.21788682043797,725.7630701802414,863.1380220583769,417.6798583492894,686.6819323126912
24,969.4796954656937,524.2303041619454,603.1683261916394,256.3684359220052,345.9371616417168,846.0048632043793
25,245.66079489340683,348.3254646285878,579.6636308376275,209.56091312463442,615.1409561383689,630.8457639083874
26,308.4207281659947,654.0045455312257,457.4113242142458,220.82311633953685,1127.4026283330952,312.41424137572267
27,641.3139083529367,495.92564806121555,770.0428714828602,693.7007373153955,814.1385941503391,923.7374147967248
28,650.0185272458813,545.1810566949559,482.99093446869676,623.9901496230735,572.8674374377541,517.4074989938694
29,609.1085441115423,327.5372409294107,213.96092619643764,549.5195668461349,676.7385959522111,606.4651676102029
30,597.9885299855714,599.3605601204707,708.6925898153359,497.8994438932544,264.5275788465355,843.7589380579609
31,758.1455435823486,1037.1350905240656,485.2067665905261,174.74752730645196,514.4632246497285,766.2401966733199
32,933.5750845987565,1042.5559823428543,539.0575001379111,153.26326364563593,394.4304504819542,239.15049174294833
33,677.038855368491,420.0256611779213,747.758925968056,506.3262422252372,332.6725287416019,181.27781801778346
34,524.881223396404,903.0176953655496,397.853697919831,600.9794642504121,382.95175169610565,565.0495211042424
35,448.132785291261,602.8554220282793,875.4434251407192,102.65886889444067,945.4102478694417,384.52836098863304
36,706.4362835186073,776.441580567367,506.90269435273706,554.6670979210182,515.5611829632078,552.7827614274095
37,1153.92344254316,520.2781903821774,256.2939614645834,291.7391897754758,908.063986047594,1201.2496821628213
38,284.0075869396887,759.1064462263486,702.4445721239849,1009.223203104485,345.0393831812118,374.32260339355923
39,672.451126245835,501.9808243394362,480.51518634142434,232.7747110518682,538.2377966640883,691.8317535966257
40,615.9830737769921,613.2872614021055,419.34365688744,196.43151702115657,661.20661151676,471.1372228074354
41,830.4964662296518,305.38949459955705,577.1877644034643,366.0842485739407,531.0685780214567,520.7682320132359
