,RN,RRN,Leaky ReLU,SiLU+dSiLU,SiLU,DDQN
0,3250.7028571428573,3504.333068633012,5297.7388950697805,4973.416164460716,7793.8348635235725,4713.880134770681
1,4902.981339712918,8497.14037065245,10752.663455413165,6562.915615615615,9503.064276729561,6055.699889696535
2,5090.577758402029,6541.949964085157,479.6170907423781,7491.53547314578,10198.835886712157,3658.5713943950786
3,6600.445643859287,2252.257572827376,1742.4451921806897,13325.29837264652,12363.828451074209,1086.7135499169249
4,16112.134265203678,5910.691179582473,5341.922604284415,14952.244262964476,12929.966400710071,16694.660606023222
5,35329.39936507936,23287.587213045445,10132.534273513163,18983.51585160871,30724.54536053131,7937.736812191431
6,56838.9567251462,19525.55135887451,15489.954617432255,19460.509489020224,26820.6750648206,12523.621165092218
7,56932.6707936508,28691.720070921983,12569.994870149318,23601.027438509067,25986.46499090152,30749.39352508852
8,92851.16055555556,28618.32409090909,5796.079996870138,27948.250795762502,22497.182229885057,24339.622679759264
9,42740.29163673206,33615.24730328495,17585.818333333336,21499.058018531177,39346.765267253075,32719.03260802396
10,42795.851739130434,51619.27129032258,20238.366666666665,18507.374538824537,35485.377031152544,32553.089612348434
11,70630.74433638444,33545.877611771364,21539.011345029237,11454.568181818182,32878.988321941695,20700.49714113182
12,80453.17526277267,56604.625,12243.75067251462,19781.17721465526,37002.44195315115,19829.751364829364
13,60951.72991452991,72986.81108575924,22076.016594516597,32201.173822843826,40878.808350877196,20683.338250699213
14,123401.71727994228,48473.05808543097,13125.462153747507,8788.076749370033,55852.61229296066,15375.372348071915
15,121853.3202522435,45745.57532627596,22651.00927596782,16951.40699645733,25844.86228004118,52260.52442619745
16,79271.60649561821,45055.81649572649,19905.614980814913,13451.122346379783,30711.724869945843,40365.17336267138
17,127567.58256410257,67155.021446919,6859.299400937494,16108.300269763078,18263.1686561131,42715.22129161055
18,153888.3933333333,72038.02135070604,16392.626284552847,21616.039031731478,18211.819128527386,34572.82874299433
19,199825.81342367776,62671.20788482835,21117.04117224437,23657.116019948524,35493.94620747196,33929.79159269583
20,208781.6048675115,89673.45657860585,19945.978313492065,15005.184498090146,47791.813501082244,42570.43109035477
21,235886.18676470587,74276.40128304319,23091.293361204014,18908.33455988456,57039.446012901826,29474.55554122039
22,224367.32686529154,85911.942953748,30998.849474418646,27673.41545759743,30611.07613871947,68740.16348150346
23,221979.35416799574,127811.64613128267,19352.2877389445,13941.953260869564,36467.73709728868,34047.41758158838
24,230539.49637685847,115421.1435042735,25559.974770589088,8352.602837759816,27566.128805120912,50086.31105426995
