,RN,RRN,Leaky ReLU,SiLU+dSiLU,SiLU,DDQN
0,4006.0443903762857,4295.80495484214,4304.941027215586,4482.407090088275,3971.462561193435,3855.150066371981
1,4410.271544511871,6007.97302326796,10867.15236099389,6237.787210617187,4699.057393493253,3804.5079601527536
2,8951.393080542839,5213.403358948236,869.335299120826,3182.149086139139,5921.439049579389,4006.4490255355095
3,6223.202715669153,2625.900294711653,2175.7219672187503,5611.431945303564,7871.529211983379,1128.1364712604432
4,24288.302338776833,5689.768616717032,4062.171167557552,13417.725357979378,8812.21867505933,12344.499060524045
5,19916.61667342724,16305.809163412392,12467.919888732906,12226.303625774106,30992.366967121812,8450.168927065168
6,57069.41882482594,14071.194031294563,10796.94627027963,9996.521181200693,23613.91851232066,6774.860430630344
7,44997.551197808905,21969.40503882082,12949.719778376457,7979.481211306235,20441.983059008006,11169.170497882662
8,111873.38575751013,18745.20786417288,3834.3369128057025,14881.677420256648,30183.5018893985,14793.441803228556
9,38852.09992566505,12798.284126003133,16206.029175238387,12900.95478252646,19340.03932487511,24140.59306843722
10,47328.41180120506,35032.06300451345,22818.1057918195,21229.833596459226,29265.27289359006,14742.822976024536
11,23804.293870501246,15295.789722994265,20228.807733829737,18809.481992491164,34495.53171189428,10512.548913327708
12,44458.09661494092,41732.44354128319,8323.164598486028,15976.014767178336,24052.795599502566,15726.308495239211
13,36926.791396290006,43258.42315208772,14166.007268075293,17061.58143588752,27687.49158299733,15095.514914659103
14,94402.21048105095,35877.23560954752,6181.97061958947,5712.904472169483,32865.95346167897,5306.916881130209
15,157525.15452825642,15931.198243124049,13324.043697156028,18450.673642280795,29260.513444801214,27950.19294500242
16,43573.40233335837,27095.275831645165,21683.0632749828,10906.928219262087,46713.71119661011,25938.203019443157
17,108720.50972468627,31835.38210539958,4972.215420534363,14817.942954557557,20183.966087753397,18912.689663743837
18,80719.00013108806,49241.461123498346,16490.981141520133,14927.005086408013,14280.695819450368,22173.54564470972
19,87799.57174310331,54709.06165125654,11324.973107207752,26726.279698315077,36106.68152416392,27031.64929754154
20,111262.7399333335,60850.942424670866,11350.079311153211,10680.915246361144,34454.02302395113,33018.581995291
21,207558.24177494302,62653.94985655907,20624.70872665321,5582.484723699158,28357.537238335473,17965.65444220911
22,104996.36738336265,70850.13233849511,14467.126460584586,17239.3203154199,33692.75431026233,10737.795939393272
23,152439.49342372915,66897.94761096165,14359.882114658221,10709.683320655315,27672.999638235255,21810.400084824116
24,79339.17669120149,68781.0932499101,25625.5818360537,9560.959800835788,23246.637097720908,37100.11448587362
