game,LReLU,RRN,RN,SiLU,d+SiLU,Random,DDQN
asterix,206.0 ± 90.0,12621.0 ± 2436.0,18109.0 ± 1755.0,107.0 ± 45.0,228.0 ± 108.0,67.9 ± 2.2,3723.0 ± 1324.0
battlezone,4464.0 ± 2291.0,25749.0 ± 2837.0,23403.0 ± 701.0,7612.0 ± 4877.0,4429.0 ± 2183.0,788.0 ± 38.0,22775.0 ± 11265.0
breakout,155.0 ± 46.0,336.0 ± 10.0,315.0 ± 36.0,26.2 ± 16.0,3.4 ± 3.89,0.14 ± 0.01,79.4 ± 33.8
enduro,121.0 ± 158.0,957.0 ± 109.0,1043.0 ± 111.0,274.0 ± 131.0,2.77 ± 3.41,0.0 ± 0.0,353.0 ± 134.0
jamesbond,37.6 ± 23.6,1137.0 ± 216.0,1122.0 ± 176.0,28.4 ± 13.8,25.5 ± 16.2,6.39 ± 0.41,45.2 ± 40.7
kangaroo,335.0 ± 342.0,5266.0 ± 2365.0,2940.0 ± 1175.0,3500.0 ± 2607.0,393.0 ± 504.0,14.2 ± 0.9,484.0 ± 395.0
pong,15.9 ± 2.0,18.1 ± 1.0,18.0 ± 0.9,14.1 ± 4.3,16.9 ± 1.2,-20.2 ± 0.0,12.4 ± 11.0
qbert,6715.0 ± 2058.0,14080.0 ± 593.0,14436.0 ± 336.0,1754.0 ± 2048.0,371.0 ± 28.0,40.6 ± 2.8,8954.0 ± 2616.0
seaquest,250.0 ± 162.0,7461.0 ± 1321.0,6603.0 ± 200.0,1504.0 ± 1677.0,94.6 ± 87.2,20.1 ± 0.4,898.0 ± 353.0
skiing,-27365.0 ± 4794.0,-23582.0 ± 7058.0,-23487.0 ± 7624.0,-29890.0 ± 4.0,-26725.0 ± 5485.0,-16104.0 ± 92.0,-26892.0 ± 5881.0
spaceinvaders,531.0 ± 62.0,1395.0 ± 251.0,650.0 ± 45.0,520.0 ± 169.0,509.0 ± 176.0,51.6 ± 1.1,490.0 ± 15.0
tennis,-22.4 ± 3.0,20.6 ± 0.9,20.5 ± 0.5,-19.4 ± 9.2,-10.4 ± 11.1,-23.9 ± 0.0,-18.4 ± 8.9
timepilot,1428.0 ± 739.0,13261.0 ± 576.0,17632.0 ± 5242.0,1644.0 ± 1566.0,1594.0 ± 1918.0,688.0 ± 30.0,1016.0 ± 401.0
tutankham,3.55 ± 4.3,184.0 ± 40.0,179.0 ± 15.0,81.9 ± 66.0,7.41 ± 5.96,3.51 ± 0.54,36.4 ± 0.0
videopinball,45683.0 ± 11383.0,86942.0 ± 48143.0,149712.0 ± 91219.0,11730.0 ± 5941.0,6439.0 ± 3336.0,6795.0 ± 461.0,62151.0 ± 21791.0
