game,LReLU,SPAU,PAUS,silu,d+silu,Random,DDQN
asterix,206 ± 90,12621 ± 2436,18109 ± 1755,107 ± 45,228 ± 108,67.9 ± 2.2,3723 ± 1324
battlezone,4464 ± 2291,25749 ± 2837,23403 ± 701,7612 ± 4877,4429 ± 2183,788 ± 38,22775 ± 11265
breakout,155 ± 46,336 ± 10,315 ± 36,26.2 ± 16,3.4 ± 3.89,0.14 ± 01,79.4 ± 33.8
enduro,121 ± 158,957 ± 109,1043 ± 111,274 ± 131,2.77 ± 3.41,0 ± 0,353 ± 134
jamesbond,37.6 ± 23.6,1137 ± 216,1122 ± 176,28.4 ± 13.8,25.5 ± 16.2,6.39 ± 0.41,45.2 ± 40.7
kangaroo,335 ± 342,5266 ± 2365,2940 ± 1175,3500 ± 2607,393 ± 504,14.2 ± 0.9,484 ± 395
pong,15.9 ± 2,18.1 ± 1,18 ± 0.9,14.1 ± 4.3,16.9 ± 1.2,-20.2 ± 0,12.4 ± 11
qbert,6715 ± 2058,14080 ± 593,14436 ± 336,1754 ± 2048,371 ± 28,40.6 ± 2.8,8954 ± 2616
seaquest,250 ± 162,7461 ± 1321,6603 ± 200,1504 ± 1677,94.6 ± 87.2,20.1 ± 0.4,898 ± 353
skiing,-27365 ± 4794,-23582 ± 7058,-23487 ± 7624,-29890 ± 4,-26725 ± 5485,-16104 ± 92,-26892 ± 5881
spaceinvaders,531 ± 62,1395 ± 251,650 ± 45,520 ± 169,509 ± 176,51.6 ± 1.1,490 ± 15
timepilot,1428 ± 739,13261 ± 576,17632 ± 5242,1644 ± 1566,1594 ± 1918,688 ± 30,1016 ± 401
tutankham,3.55 ± 4.3,184 ± 40,179 ± 15,81.9 ± 66,7.41 ± 5.96,3.51 ± 0.54,36.4 ± 0
videopinball,45683 ± 11383,86942 ± 48143,149712 ± 91219,11730 ± 5941,6439 ± 3336,6795 ± 461,62151 ± 21791
