game,SPAU_norm,PAUS_norm,SiLU_norm,(d)SiLU_norm,,,,,LReLU,SPAU,PAUS,silu,(d)silu,Random,Human
asterix,9058.7,13018.4,27.9,115.7,,,,,206.45,12621.37,18108.77,106.54,228.17,67.87,7336
battlezone,679.1,615.3,200,99.1,,,,,4463.81,25749.41,23403.2,8140.46,4429.18,788.44,33030
breakout,216.9,203.4,16.8,2.1,,,,,155.19,336.37,315.49,26.15,3.4,0.14,27.9
enduro,790.7,861.7,226,2.3,,,,,121.04,957.04,1043.01,273.56,2.77,0,740.2
jamesbond,3621.9,3571.9,70.5,61.2,,,,,37.61,1137.14,1121.54,28.4,25.51,6.39,368.5
kangaroo,1635.4,911.3,1085.4,118,,,,,335.3,5266.04,2940.5,3499.63,393.07,14.17,2739
pong,106.3,106.1,95.1,102.9,,,,,15.86,18.13,18.04,14.1,16.9,-20.17,15.5
qbert,210.3,215.7,25.7,5,,,,,6715.37,14080.2,14435.99,1754.41,371.28,40.63,12085
seaquest,3238.6,2865.3,645.8,32.4,,,,,249.87,7460.84,6603.14,1503.75,94.6,20.12,40425.8
skiing,66.4,65.6,122.4,94.3,,,,,-27365.15,-23581.51,-23487.09,-29890.32,-26725.13,-16104.2,-3686
spaceinvaders,280.1,124.8,97.6,95.3,,,,,531.31,1395.43,650.44,519.9,508.66,51.57,1464.9
timepilot,1699.1,2289.9,129.2,122.4,,,,,1428.21,13260.81,17631.88,1644.22,1593.73,688.27,5650
tutankham,452050,439525,195950,9750,,,,,3.55,184.33,179.32,81.89,7.41,3.51,138.3
videopinball,206.1,367.5,12.7,-0.9,,,,,45682.93,86941.94,149712.26,11729.77,6439.35,6795.29,15641.1
